id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
233502,West Seattle room with private bath,1215564,Danielle,West Seattle,North Admiral,47.57327,-122.37436,Private room,60,1,1,2012-06-06,0.01,1,104
241016,Scandinavian Queen Anne Home,956883,Maija,Queen Anne,North Queen Anne,47.64329,-122.37582,Entire home/apt,215,2,90,2019-03-03,1.38,3,272
241032,Stylish Queen Anne Apartment,956883,Maija,Queen Anne,West Queen Anne,47.63629,-122.37103,Entire home/apt,165,3,285,2018-09-17,3.12,3,0
243885,Charming Urban Garden Bungalow,1279637,Melody And Justin,Other neighborhoods,Wallingford,47.67058,-122.32363,Entire home/apt,125,3,4,2018-07-06,0.05,1,0
251922,"Sleepy North Admiral, West Seattle",512084,Edwin,West Seattle,North Admiral,47.58143,-122.39411,Entire home/apt,78,2,215,2019-04-02,2.37,1,285
254340,Phinney Oasis-Ballard/Phinney,1336214,Kim,Other neighborhoods,Phinney Ridge,47.67717,-122.36169,Entire home/apt,85,3,150,2019-03-25,1.68,1,169
260613,Modern & New MIL Apt. in N. Ballard,1387754,Monika,Ballard,Whittier Heights,47.68649,-122.36846,Entire home/apt,100,3,45,2018-08-10,0.52,1,304
261912,"Storybook Tudor, house at GreenLake",558743,Natalie,Other neighborhoods,Green Lake,47.68378,-122.34201,Entire home/apt,200,4,31,2019-01-02,0.37,2,4
270370,"NorthBeach, fantastic water view",1309213,Audrey&Benoit,Other neighborhoods,North Beach/Blue Ridge,47.69818,-122.3871,Entire home/apt,195,2,0,,,1,0
271509,Belltown Condo-Close to Pike Place-OPEN 4/13,74305,Seattle Oasis,Downtown,Belltown,47.61578,-122.34872,Entire home/apt,144,2,69,2019-03-17,0.86,45,130
278830,"Charming Craftsman house in Queen Anne, Seattle",1452570,Emily,Queen Anne,West Queen Anne,47.63292,-122.37247,Entire home/apt,395,2,68,2018-11-25,0.83,3,229
279209,Beautiful Light Filled Cottage in Central Ballard,601384,Eva,Ballard,Loyal Heights,47.68123,-122.37971,Entire home/apt,150,2,2,2016-06-26,0.06,1,0
281208,"Luxury, Location, Great For Family",658155,Joe,Central Area,Atlantic,47.5938,-122.30515,Entire home/apt,229,3,155,2019-04-13,1.78,15,78
281789,11th Avenue Inn Bed and Breakfast,31509,David,Capitol Hill,Broadway,47.61988,-122.31961,Private room,99,1,53,2019-02-20,0.61,6,0
284087,The Nest in the Heart of the City,721070,Suzanne,Downtown,First Hill,47.61148,-122.32912,Entire home/apt,235,3,166,2019-04-06,1.91,1,263
286080,2 Bed 2 Bath  Downtown Seattle Walk to Pike Place,74305,Seattle Oasis,Downtown,Belltown,47.61523,-122.34703,Entire home/apt,144,2,85,2019-03-28,0.96,45,105
299817,Cap Hill Mountain/Lake View Oasis,1545026,Anna,Capitol Hill,Stevens,47.62388,-122.30133,Entire home/apt,125,7,9,2018-08-14,0.13,1,241
301059,OPEN 4/9-10 ✶ Belltown Condo with Water View,74305,Seattle Oasis,Downtown,Belltown,47.61497,-122.34855,Entire home/apt,94,2,51,2019-04-09,0.59,45,122
303277,Hip Condo Private Deck East Lake Union - Long Term,1204187,Kara,Cascade,Eastlake,47.64481,-122.32429,Entire home/apt,150,30,9,2019-03-31,0.10,2,280
311790,Eastlake Union-Fantastic Location,1204187,Kara,Cascade,Eastlake,47.64642,-122.32495,Private room,50,1,4,2019-04-03,0.05,2,0
317248,Historic Seattle Home Designed for Modern Living,658155,Joe,Capitol Hill,Broadway,47.62336,-122.31668,Entire home/apt,240,3,161,2019-04-14,1.94,15,61
318475,Center of the universe Fremont Flat,1634441,Daniel,Other neighborhoods,Fremont,47.65633,-122.34998,Entire home/apt,131,2,127,2019-04-07,1.56,2,80
319768,Family Friendly Modern Seattle Home,1577903,Jen,Central Area,Atlantic,47.59583,-122.29788,Entire home/apt,135,5,5,2013-12-28,0.06,1,0
338091,"spacious, great location w view",1717589,Jen,Capitol Hill,Broadway,47.61897,-122.32421,Entire home/apt,165,1,117,2018-12-27,1.37,3,365
340706,Charming Wallingford Apartment,1015653,David,Other neighborhoods,Wallingford,47.65588,-122.33214,Entire home/apt,90,2,183,2018-11-18,2.12,1,105
340738,Victorian home on Capitol Hill,1729224,Marlow,Capitol Hill,Stevens,47.62344,-122.30659,Entire home/apt,195,30,0,,,2,104
341454,"Cool 2BR Flat w/Private Balcony, City Views",1732181,William,Central Area,Minor,47.61038,-122.31157,Entire home/apt,175,3,52,2019-03-29,1.36,3,292
353039,St. John's Apt. 300 *Walkscore 99*,1787819,Bryce,Downtown,First Hill,47.61367,-122.32203,Entire home/apt,155,30,48,2019-03-19,0.58,8,251
353110,West Seattle Backyard Vacation Cottage,1788284,Eric,West Seattle,North Admiral,47.58003,-122.39025,Entire home/apt,107,4,70,2019-01-03,0.82,1,104
353347,VACATION HOUSE WEST SEATTLE,791459,Kathy,West Seattle,Arbor Heights,47.50509,-122.37824,Entire home/apt,200,5,29,2015-08-27,0.34,1,364
356248,Seattle 2BR Charmer with Portage Bay Views!,306615,Tara,Capitol Hill,Portage Bay,47.65005,-122.3211,Entire home/apt,169,3,23,2018-12-31,0.74,3,76
356608,St. John's Apt. 309 *Walkscore 99*,1787819,Bryce,Downtown,First Hill,47.61304,-122.32321,Entire home/apt,196,3,106,2019-03-18,1.27,8,261
368403,Large Luxury Lakeside Seattle Home,4186078,Trung,Other neighborhoods,Green Lake,47.68354,-122.33091,Entire home/apt,450,4,29,2018-12-27,0.43,1,341
370361,Private Guest Studio- Phinney Ridge,1865986,Sheldon,Other neighborhoods,Greenwood,47.68348,-122.35705,Private room,85,3,199,2019-03-15,2.32,2,158
380950,4BR/2BA Craftsman Charmer w/ Stunning Sunset Views,287962,Ian,Other neighborhoods,Fremont,47.66623,-122.3607,Entire home/apt,400,1,25,2017-09-04,0.30,1,0
384797,6 room/10 bed/3 bath- Award Winning/ Walk Downtown,50893,Chris,Capitol Hill,Broadway,47.6257,-122.32095,Entire home/apt,499,3,47,2019-02-18,0.56,3,156
385438,Luxury Condo with lake union views ,1929300,Arvind,Capitol Hill,Broadway,47.62837,-122.32626,Entire home/apt,175,4,4,2015-09-08,0.05,1,0
387078,Modern on Capitol Hill. LOCATION!,1121532,Kellie,Capitol Hill,Broadway,47.62178,-122.32379,Entire home/apt,119,1,142,2019-01-07,1.85,7,341
387464,Backyard Studio Apartment near UW,1938802,Jason And Susy,Other neighborhoods,Ravenna,47.67675,-122.29397,Entire home/apt,93,2,213,2019-03-31,2.48,1,227
392140,Fantastic View-Close to Light Rail-Solar Powered!,3313235,Leslie,Beacon Hill,North Beacon Hill,47.58513,-122.31526,Private room,72,2,238,2019-03-29,2.82,1,357
392779,2/1 Plush Modern Hilltop Retreat,437055,Jyoti And Tushar,Beacon Hill,North Beacon Hill,47.57577,-122.31636,Entire home/apt,112,3,129,2019-03-30,1.55,1,111
394408,Sweet home in the heart of Fremont,1971733,Caroline,Other neighborhoods,Fremont,47.65811,-122.35739,Entire home/apt,150,1,48,2016-12-13,0.57,1,104
408526,Chic 3 bed 4 bath Ballard townhome,2034501,Vivian,Ballard,Adams,47.67553,-122.37632,Entire home/apt,218,14,0,,,2,365
413733,Chill Central District 2BR,2057654,Michele & Ryan,Central Area,Madrona,47.60907,-122.29613,Entire home/apt,269,2,151,2019-04-11,3.28,2,74
421168,Greenwood Studio,2094547,Samantha & Peter,Other neighborhoods,Greenwood,47.69922,-122.35072,Private room,71,1,332,2018-08-02,4.02,1,0
430609,"Fresh & hip. 3br/2.5ba deck, bright, walk to all!",165390,Seth,Other neighborhoods,Fremont,47.65925,-122.34831,Entire home/apt,225,21,46,2018-08-26,0.89,7,92
430610,"modern,super roof deck, garage,88 walkscore.",165390,Seth,Other neighborhoods,Wallingford,47.6541,-122.33851,Entire home/apt,259,5,95,2019-01-17,1.17,7,153
433842,Green Lake Place,2088654,Steve,Other neighborhoods,Green Lake,47.68528,-122.34316,Entire home/apt,85,2,19,2019-03-03,1.84,1,0
443942,Stunning downtown flat top floor with internet,64955,Beb,Downtown,Belltown,47.61583,-122.34078,Entire home/apt,125,1,33,2018-05-14,0.51,1,364
445199,The Chandelier Room,2211872,Eliza,Delridge,North Delridge,47.56966,-122.36171,Private room,80,2,96,2017-08-13,1.16,1,0
